date,auction_month,auction_year,bi_rate,spread_bifd,yield10_ibpa,inflation_rate,idprod_rate,jkse_avg,idrusd_avg,foreign_reserves_log,dpk_bio_log,bnkp_mon_avg,cbbp_gross_avg,forh_avg,forh_avg_sqr,inpp_avg,othp_avg,move,incoming_mio_log,awarded_mio_log,incoming_bio_log,awarded_bio_log,number_series,number_series_sqr,bid_to_cover,bi_covid,usfdtr_policyrate,long_holiday,m2all_bio_log,m1all_bio_log,m1currency_bio_log,m1demanddeposits_bio_log,m2quasi_bio_log,m2securities_bio_log,srbi_incomingbio_log,srbi_awardedbio_log,srbi_bid_to_cover,srbi_way_incoming,srbi_way_awarded,yield01_ibpa,yield05_ibpa
2017-02-01,2,2017,4.75,4,7.798199476,3.83,3.93774005,5370.01488,13340.84211,5.057395023,6.685421052,21.8299325,9.05395865,37.3534005,1395.276529,17.9711995,13.79151,68.78111098,7.985989748,7.684554538,4.985989748,4.684554538,21,441,2.001866952,0,0.75,0,6.69398356,6.077744473,5.665029951,5.865473359,6.572022949,4.151808827,0,0,0,0,0,6.085403195,7.394416559
2017-03-01,3,2017,4.75,3.75,7.543513565,3.61,5.88638018,5478.665261,13345.5,5.06475261,6.691670618,21.08744318,9.302990591,37.90852682,1437.056406,17.93410318,13.76693727,63.94142859,7.958394719,7.643156466,4.958394719,4.643156466,20,400,2.066513532,0,1,0,6.700499806,6.084882385,5.67111902,5.873271065,6.577938792,4.252715928,0,0,0,0,0,6.081918349,7.160699853
2017-04-01,4,2017,4.75,3.75,7.266062674,4.17,6.72713888,5649.74618,13306.38889,5.069926636,6.692005088,20.34649611,9.271650167,38.72327944,1499.492371,17.77180722,13.88676389,67.7973685,8.071479915,7.622524862,5.071479915,4.622524862,21,441,2.811609826,0,1,0,6.701894256,6.095492733,5.683984921,5.882459281,6.576470796,4.223471279,0,0,0,0,0,5.861189216,6.870644287
2017-05-01,5,2017,4.75,3.75,7.236589287,4.33,6.44946218,5692.10083,13323.35,5.075916648,6.70005053,20.47391,9.2573029,38.816984,1506.758247,17.7585385,13.693262,56.87750034,8.004633008,7.625029347,5.004633008,4.625029347,25,625,2.396644733,0,1,0,6.709809961,6.105814085,5.685852626,5.898049438,6.58359622,4.229707689,0,0,0,0,0,5.864260689,6.818086458
2017-06-01,6,2017,4.75,3.5,7.108986981,4.37,-0.36738384,5744.55013,13298.25,5.069286349,6.702943459,20.23292222,9.317079167,39.29503444,1544.099732,17.63151167,13.52345222,52.54409079,7.809604152,7.500785173,4.809604152,4.500785173,15,225,2.036193182,0,1.25,1,6.718100072,6.127704378,5.749597837,5.892111545,6.587264666,4.237780676,0,0,0,0,0,5.791471049,6.732956276
2017-07-01,7,2017,4.75,3.5,7.167625797,3.88,4.05515066,5821.848447,13342.09524,5.085652958,6.701799748,20.41709905,9.187421905,39.20108381,1536.724972,17.67974095,13.51465524,50.88399944,7.967905841,7.670570525,4.967905841,4.670570525,20,400,1.983057542,0,1.25,0,6.714168651,6.111677396,5.714170198,5.889539866,6.587343929,4.257994943,0,0,0,0,0,5.829796663,6.825840125
2017-08-01,8,2017,4.670454545,3.420454545,7.076471285,3.82,4.68370653,5844.486328,13341.81818,5.088820458,6.703510878,20.81143545,9.099085455,39.22433364,1538.548349,17.43476,13.43038545,49.94565267,8.214322912,7.762153192,5.214322912,4.762153192,25,625,2.832498703,0,1.25,0,6.717641185,6.105443165,5.721891195,5.873730558,6.593914555,4.282564566,0,0,0,0,0,5.82450194,6.665287929
2017-09-01,9,2017,4.434210526,3.184210526,6.706356577,3.72,7.74277894,5865.231265,13303.47368,5.091266132,6.711207341,20.81155158,8.981829895,39.96767737,1597.415234,17.00085421,13.23808789,51.18526338,8.212004256,7.685741739,5.212004256,4.685741739,21,441,3.359406186,0,1.25,0,6.720501518,6.115402077,5.718800137,5.892658986,6.594465352,4.281165909,0,0,0,0,0,5.399329766,6.195805704
2017-10-01,10,2017,4.25,3,6.887244924,3.58,2.89961832,5941.404031,13526,5.081260368,6.712843735,21.69948273,8.953651818,39.17831636,1534.940473,16.89887636,13.26967182,53.52049961,8.15156841,7.885643872,5.15156841,4.885643872,26,676,1.84469486,0,1.25,0,6.722989122,6.122465675,5.715887589,5.906281652,6.595409398,4.286578387,0,0,0,0,0,5.391403809,6.370206243
2017-11-01,11,2017,4.25,3,6.882708424,3.3,3.85112619,6038.162132,13527.36364,5.078967014,6.715960413,22.37060182,8.814627,38.775095,1503.507992,16.65120091,13.38847591,46.70523852,7.828780374,7.503109437,4.828780374,4.503109437,15,225,2.116756672,0,1.25,0,6.726028498,6.126502634,5.730214917,5.903548853,6.598189152,4.273736749,0,0,0,0,0,5.303490295,6.376493917
